borrower_id,age,monthly_income,loan_amount,interest_rate_annual,term_months,employment_length_years,employment_status,credit_score,dti_percent,num_late_payments,days_past_due,app_logins_30d,sms_open_rate,email_open_rate,whatsapp_opt_in,previous_restructuring,macro_unemployment,macro_inflation,region,last_contact_channel,last_contact_response,has_collateral,action_taken,default_60d,time_to_default_days,paid_within_30d
1,22,20777.76,59542.26,30.46,30,14,Informal,678,15.87,4,23,7,0.388,0.384,0,1,4.88,4.29,Occidente,App,Contactado_Sin_Compromiso,0,Push_App,0,120.0,1
2,58,10652.33,48665.63,26.92,33,9,Desempleado,598,39.51,1,18,14,0.343,0.034,0,1,4.24,3.4,Sur,WhatsApp,No_Contactado,1,WA_Recordatorio,0,120.0,1
3,52,9877.44,77158.15,35.34,24,11,Desempleado,745,42.83,2,31,3,0.358,0.012,1,1,4.97,3.43,Sur,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,0
4,40,17758.24,34575.51,22.41,34,4,Desempleado,706,6.77,2,38,11,0.643,0.232,0,0,2.68,4.27,Centro,App,Reestructuracion,1,Push_App,0,120.0,1
5,40,20931.32,74654.35,28.84,14,21,Desempleado,582,37.35,0,6,8,0.383,0.303,1,1,6.03,4.06,Norte,App,Contactado_Sin_Compromiso,1,Push_App,0,120.0,1
6,62,15241.54,63462.45,31.12,40,23,Independiente,629,43.34,3,28,7,0.144,0.459,0,1,3.16,3.83,Occidente,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,1
7,22,7281.64,49699.25,25.2,42,13,Independiente,676,41.97,1,0,5,0.417,0.591,0,1,5.26,5.96,Occidente,WhatsApp,Contactado_Sin_Compromiso,1,WA_Recordatorio,0,120.0,1
8,54,6838.45,42126.58,33.88,24,1,Independiente,615,44.63,1,0,5,0.448,0.601,1,0,4.55,5.61,Sur,App,Contactado_Sin_Compromiso,1,Push_App,0,120.0,0
9,28,6437.18,110666.69,29.04,25,1,Informal,617,31.07,1,48,8,0.321,0.2,1,0,4.26,6.02,Occidente,WhatsApp,Promesa_de_Pago,1,WA_Recordatorio,0,120.0,1
10,22,4394.27,29574.78,33.52,26,20,Informal,643,22.52,0,5,6,0.34,0.448,0,0,5.22,3.55,Norte,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,1
11,45,15656.91,57448.33,29.36,40,27,Formal,565,13.4,1,17,12,0.137,0.357,0,1,5.0,3.4,Norte,App,Reestructuracion,0,Push_App,0,120.0,0
12,68,21750.26,31244.52,30.63,13,25,Independiente,484,48.11,0,0,4,0.369,0.084,0,0,4.11,4.59,Centro,Llamada,No_Contactado,1,Llamada_Agente,0,120.0,0
13,56,14919.51,94640.52,23.57,20,12,Desempleado,657,43.44,0,0,17,0.107,0.0,0,0,3.58,5.0,Centro,SMS,Contactado_Sin_Compromiso,0,SMS_Recordatorio,0,120.0,1
14,57,3000.0,72170.66,23.58,31,14,Independiente,501,49.02,3,0,4,0.3,0.306,0,0,4.12,4.59,Sur,SMS,No_Contactado,1,SMS_Recordatorio,0,120.0,0
15,55,13855.44,33041.25,36.57,35,4,Desempleado,570,26.3,3,24,13,0.216,0.011,1,1,3.9,4.92,Norte,WhatsApp,Reestructuracion,1,WA_Recordatorio,0,120.0,1
16,58,14023.21,62814.87,32.45,18,2,Formal,516,44.65,0,1,13,0.547,0.127,0,0,4.35,6.4,Norte,WhatsApp,Contactado_Sin_Compromiso,1,WA_Recordatorio,0,120.0,1
17,44,27575.99,56442.39,20.84,10,22,Informal,525,16.97,0,5,8,0.66,0.157,0,1,5.02,4.24,Occidente,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,1
18,24,6257.17,37084.38,29.27,27,12,Informal,670,24.57,1,0,8,0.121,0.319,0,1,4.47,5.47,Occidente,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,0
19,61,12655.93,68954.11,11.38,32,14,Independiente,624,36.51,1,35,3,0.349,0.511,1,1,4.18,5.12,Occidente,SMS,Reestructuracion,1,SMS_Recordatorio,0,120.0,1
20,41,25235.12,59732.63,23.98,38,10,Informal,622,42.96,3,29,4,0.288,0.282,0,0,3.35,4.61,Centro,Llamada,Reestructuracion,0,Llamada_Agente,0,120.0,1
21,44,17699.87,55392.47,34.73,6,9,Independiente,548,55.15,2,2,9,0.443,0.183,1,1,4.32,5.41,Occidente,SMS,Reestructuracion,0,SMS_Recordatorio,0,120.0,0
22,37,18379.88,48952.01,27.12,6,29,Desempleado,594,32.12,1,25,7,0.369,0.0,1,0,2.5,3.58,Centro,SMS,Promesa_de_Pago,1,SMS_Recordatorio,0,120.0,1
23,27,15687.51,60776.36,28.83,22,24,Informal,666,24.61,1,7,15,0.273,0.363,0,0,3.2,3.34,Oriente,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,1
24,66,16979.66,55734.69,10.0,29,20,Independiente,636,23.99,1,5,5,0.369,0.285,1,0,4.61,5.02,Norte,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,1
25,58,19665.66,51477.33,25.25,6,11,Desempleado,698,26.75,1,11,5,0.307,0.181,0,0,4.89,2.53,Occidente,SMS,Promesa_de_Pago,1,SMS_Recordatorio,0,120.0,0
26,51,10143.08,33974.6,30.37,13,21,Informal,708,61.65,1,24,0,0.668,0.49,1,0,3.98,5.11,Norte,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,1
27,38,20268.35,92344.16,31.26,23,10,Informal,622,44.08,3,0,11,0.191,0.066,0,0,4.2,3.15,Oriente,Email,Promesa_de_Pago,0,Email_Recordatorio,0,120.0,1
28,60,6761.98,23739.5,34.74,17,15,Independiente,510,48.35,2,22,11,0.401,0.157,1,1,4.37,6.32,Centro,Email,No_Contactado,0,Email_Recordatorio,0,120.0,0
29,46,16970.21,60690.91,26.53,35,4,Formal,587,32.13,4,61,13,0.452,0.236,1,1,4.68,4.02,Norte,SMS,Promesa_de_Pago,0,SMS_Recordatorio,0,120.0,1
30,41,16072.45,41993.98,26.84,7,21,Independiente,633,34.98,0,15,14,0.438,0.179,0,0,3.8,6.24,Centro,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,0
31,41,11302.24,93988.68,18.68,43,1,Formal,586,43.39,3,12,12,0.29,0.379,0,0,3.02,4.25,Oriente,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,0
32,29,14863.89,27412.94,26.57,13,21,Desempleado,566,28.93,1,10,12,0.624,0.364,0,1,4.39,4.2,Norte,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,1
33,22,11264.76,31618.42,19.17,24,18,Desempleado,645,31.5,2,21,11,0.0,0.469,1,0,5.96,5.54,Centro,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,0
34,46,8569.79,25754.55,15.06,47,1,Desempleado,810,26.9,1,0,12,0.131,0.37,0,0,3.08,4.85,Sur,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,0
35,64,12878.31,58086.63,20.4,33,15,Formal,606,29.63,2,46,0,0.483,0.259,1,0,3.87,4.42,Oriente,Email,Reestructuracion,0,Email_Recordatorio,0,120.0,1
36,21,8376.07,15673.73,38.56,47,6,Desempleado,640,35.59,2,31,1,0.174,0.219,1,0,3.61,4.02,Norte,SMS,No_Contactado,0,SMS_Recordatorio,0,120.0,1
37,62,16936.78,38036.79,26.11,6,14,Independiente,548,25.14,1,0,0,0.162,0.362,1,1,6.41,4.03,Centro,App,Promesa_de_Pago,1,Push_App,0,120.0,1
38,61,8099.49,5000.0,29.54,36,0,Informal,727,38.43,3,12,15,0.257,0.246,1,0,3.04,7.33,Oriente,Llamada,Contactado_Sin_Compromiso,0,Llamada_Agente,0,120.0,1
39,32,19271.86,56010.53,24.41,9,21,Independiente,701,38.41,0,0,3,0.193,0.289,0,0,3.84,2.49,Occidente,Email,No_Contactado,1,Email_Recordatorio,0,120.0,1
40,50,7911.13,37494.63,15.47,31,15,Formal,696,32.85,0,17,4,0.477,0.372,0,0,3.64,3.06,Sur,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,1
41,26,11602.23,12798.58,34.55,19,10,Independiente,735,25.07,2,13,8,0.531,0.305,1,0,2.75,5.91,Centro,WhatsApp,Reestructuracion,1,WA_Recordatorio,0,120.0,1
42,57,11252.38,77140.24,12.79,38,26,Informal,610,36.26,2,16,0,0.368,0.336,1,1,2.69,5.82,Occidente,WhatsApp,Contactado_Sin_Compromiso,0,WA_Recordatorio,0,120.0,1
43,54,22950.88,17308.33,24.12,11,19,Desempleado,619,28.94,2,0,10,0.561,0.138,1,0,4.57,3.39,Oriente,App,Promesa_de_Pago,1,Push_App,0,120.0,0
44,36,16981.74,69923.59,27.62,43,18,Formal,760,35.56,1,2,0,0.073,0.523,1,0,4.71,2.4,Sur,Email,Promesa_de_Pago,1,Email_Recordatorio,0,120.0,1
45,21,13729.6,32473.98,29.61,26,4,Desempleado,684,48.18,4,34,0,0.365,0.081,1,0,3.44,6.03,Oriente,Llamada,Contactado_Sin_Compromiso,0,Llamada_Agente,0,120.0,1
46,68,17992.32,90039.28,22.91,27,15,Desempleado,485,19.96,1,1,9,0.62,0.359,1,1,5.41,3.24,Centro,SMS,Reestructuracion,1,SMS_Recordatorio,0,120.0,1
47,41,3000.0,68738.76,15.13,29,21,Informal,672,61.08,1,0,0,0.545,0.193,1,1,2.5,3.91,Oriente,SMS,No_Contactado,0,SMS_Recordatorio,0,120.0,1
48,64,14741.2,24798.8,22.39,7,27,Independiente,599,34.13,1,8,15,0.637,0.475,1,1,2.74,4.62,Sur,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,1
49,53,26985.09,27072.94,22.76,19,18,Independiente,703,39.94,2,60,8,0.232,0.439,0,1,3.18,3.21,Centro,Email,Promesa_de_Pago,1,Email_Recordatorio,0,120.0,1
50,58,15794.08,65138.13,22.59,35,5,Formal,669,25.97,1,28,14,0.533,0.28,0,0,3.99,5.61,Sur,WhatsApp,Reestructuracion,0,WA_Recordatorio,0,120.0,1
51,57,15407.48,43440.55,34.79,46,20,Independiente,518,48.71,2,0,10,0.265,0.56,0,0,3.55,4.53,Sur,Email,No_Contactado,1,Email_Recordatorio,0,120.0,1
52,28,18288.77,45766.44,19.5,47,2,Desempleado,659,33.49,1,10,7,0.469,0.246,0,1,3.8,3.44,Occidente,Email,Reestructuracion,1,Email_Recordatorio,0,120.0,1
53,36,20373.63,81805.97,30.11,28,9,Desempleado,655,30.27,0,25,2,0.612,0.439,1,1,4.49,3.55,Occidente,Email,Contactado_Sin_Compromiso,1,Email_Recordatorio,0,120.0,0
54,42,3015.2,31282.78,29.11,16,27,Formal,665,28.09,1,0,13,0.191,0.149,0,0,5.46,6.06,Oriente,App,Reestructuracion,1,Push_App,0,120.0,1
55,43,4906.04,52282.34,34.72,26,24,Desempleado,680,31.78,4,0,10,0.0,0.353,0,1,4.8,4.17,Norte,SMS,Contactado_Sin_Compromiso,0,SMS_Recordatorio,0,120.0,1
56,20,16261.75,73865.69,27.07,25,27,Informal,745,40.02,0,19,20,0.72,0.112,0,1,4.06,5.24,Centro,WhatsApp,Promesa_de_Pago,0,WA_Recordatorio,0,120.0,0
57,46,10710.74,70227.94,33.54,22,10,Formal,669,37.07,2,43,12,0.448,0.284,1,0,3.92,4.49,Oriente,Llamada,Reestructuracion,1,Llamada_Agente,0,120.0,1
